camera_trap,habitat_type
CT-PNM-1-1,dry
CT-PNM-1-2,humid
CT-PNM-1-3,transition
CT-PNM-1-4,humid
CT-PNM-1-5,transition
CT-PNM-1-6,humid
CT-PNM-1-7,transition
CT-PNM-1-8,humid
CT-PNM-1-9,humid
CT-PNM-1-10,humid
CT-PNM-1-11,dry
CT-PNM-1-12,humid
CT-PNM-1-13,dry
CT-PNM-1-14,dry
CT-PNM-1-15,dry
CT-PNM-1-16,dry
CT-PNM-1-17,dry
CT-PNM-1-18,dry
CT-PNM-1-19,dry
CT-PNM-1-20,humid
CT-PNM-2-1,dry
CT-PNM-2-2,humid
CT-PNM-2-3,transition
CT-PNM-2-4,dry
CT-PNM-2-5,transition
CT-PNM-2-6,dry
CT-PNM-2-7,dry
CT-PNM-2-8,dry
CT-PNM-2-9,dry
CT-PNM-2-10,dry
CT-PNM-2-11,dry
CT-PNM-2-12,dry
CT-PNM-2-13,humid
CT-PNM-2-14,dry
CT-PNM-2-15,humid
CT-PNM-2-16,dry
CT-PNM-2-17,dry
CT-PNM-2-18,dry
CT-PNM-2-19,dry
CT-PNM-2-20,dry
CT-PNM-3-1,dry
CT-PNM-3-2,dry
CT-PNM-3-3,dry
CT-PNM-3-4,dry
CT-PNM-3-5,transition
CT-PNM-3-6,dry
CT-PNM-3-7,transition
CT-PNM-3-8,dry
CT-PNM-3-9,dry
CT-PNM-3-10,dry
CT-PNM-3-11,dry
CT-PNM-3-12,dry
CT-PNM-3-13,transition
CT-PNM-3-14,dry
CT-PNM-3-15,transition
CT-PNM-3-16,dry
CT-PNM-3-17,dry
CT-PNM-3-18,transition
CT-PNM-3-19,transition
CT-PNM-3-20,humid
